match_id,radiant_win,radiant_team,dire_team,avg_mmr,num_mmr,game_mode,lobby_type
6536983002,True,"14,1,59,105,9","74,128,98,84,70",3365.0,4.0,22,7
6536983001,False,"21,111,22,8,101","42,75,36,68,26",3464.0,2.0,22,7
6536983000,True,"74,97,57,45,19","93,26,86,129,59",2957.0,2.0,22,7
6536982917,False,"104,27,64,25,81","1,85,31,36,35",2568.0,4.0,22,7
6536982916,False,"41,86,22,29,128","13,81,120,101,53",3765.0,1.0,22,7
6536982915,True,"26,12,79,16,35","107,135,14,72,6",2371.0,2.0,22,7
6536982912,False,"27,53,38,74,72","64,16,89,119,28",,,22,7
6536982908,True,"86,85,120,6,11","68,123,21,59,48",3485.0,3.0,22,7
6536982907,False,"59,12,22,49,102","8,63,123,73,68",,,4,0
6536982816,True,"44,11,101,114,62","45,36,28,1,35",,,22,7
6536982815,False,"76,6,128,121,85","68,8,7,49,17",1669.0,1.0,22,7
6536982814,False,"46,135,22,53,75","6,16,128,137,93",,,4,0
6536982804,True,"128,28,35,27,95","60,84,114,74,120",3107.0,3.0,22,7
6536982719,True,"14,120,8,68,43","126,7,129,18,30",,,22,7
6536982718,True,"72,99,42,106,57","60,40,4,7,17",3775.0,2.0,22,7
6536982717,True,"25,72,100,41,85","64,49,9,44,11",,,22,7
6536982716,False,"8,26,50,22,2","123,35,1,40,99",2048.0,1.0,22,7
6536982710,False,"2,121,7,80,8","64,49,101,95,76",1720.0,1.0,22,7
6536982708,False,"95,63,76,93,64","5,18,22,42,23",2220.0,2.0,22,0
6536982701,True,"14,81,68,74,104","75,98,64,8,23",2737.0,1.0,22,7
6536982605,False,"14,47,129,101,10","137,75,74,76,70",2178.0,1.0,22,7
6536982513,False,"93,30,32,62,98","82,95,90,38,85",4729.0,1.0,22,0
6536982512,False,"19,28,58,21,64","84,81,76,36,26",,,22,7
6536982510,True,"26,86,99,21,93","1,90,46,27,129",3641.0,1.0,22,7
6536982506,False,"22,42,23,91,13","1,84,75,40,36",3636.0,1.0,22,7
6536982505,True,"85,123,53,12,35","101,6,47,40,38",2447.0,1.0,22,0
6536982504,True,"33,135,102,75,46","86,41,23,52,74",,,4,0
6536982503,False,"2,123,46,39,136","43,21,105,137,48",4124.0,5.0,22,7
6536982502,True,"26,12,90,21,8","36,40,43,95,54",2856.0,1.0,22,0
6536982500,True,"50,28,41,90,35","25,81,45,64,83",2890.0,4.0,22,7
6536982412,False,"41,14,26,23,74","91,128,47,40,19",1743.0,1.0,22,0
6536982410,True,"81,31,135,41,13","121,62,19,93,14",3171.0,3.0,22,7
6536982409,False,"53,70,13,20,17","16,45,49,94,19",3097.0,2.0,22,7
6536982407,True,"121,21,94,2,85","128,90,19,63,17",3787.0,1.0,22,7
6536982406,True,"62,44,84,21,72","1,11,14,137,121",2588.0,1.0,22,7
6536982316,False,"2,11,72,73,59","28,5,100,8,6",,,22,7
6536982315,False,"88,71,25,120,10","27,42,104,100,76",,,22,7
6536982306,False,"81,46,74,37,15","47,137,19,26,58",1702.0,1.0,22,7
6536982305,False,"40,76,54,85,26","104,33,81,94,58",2588.0,1.0,22,7
6536982304,True,"121,14,52,2,20","36,40,114,35,86",2255.0,4.0,22,7
6536982303,True,"101,90,75,44,2","23,1,85,37,96",2858.0,2.0,22,0
6536982302,False,"137,31,25,30,41","40,63,59,90,14",,,22,7
6536982301,False,"102,74,56,26,47","30,43,90,23,19",4384.0,5.0,22,0
6536982218,True,"113,86,123,8,68","27,47,41,100,48",1868.0,2.0,22,7
6536982214,False,"45,26,123,18,48","41,137,101,6,64",3509.0,1.0,22,7
6536982209,True,"86,30,70,28,123","21,19,7,14,62",4108.0,1.0,22,7
6536982208,True,"89,23,87,11,54","111,2,8,74,47",,,22,7
6536982207,False,"70,123,68,39,89","12,94,16,62,83",2936.0,2.0,22,0
6536982115,True,"120,28,84,63,96","68,40,59,107,42",2163.0,1.0,3,7
6536982114,True,"63,119,4,29,123","36,19,64,12,93",,,22,0
6536982104,True,"70,74,105,77,73","5,86,30,71,93",3393.0,2.0,22,7
6536982103,True,"88,99,35,63,59","94,21,47,100,9",,,22,0
6536982102,False,"47,71,31,48,114","75,104,2,8,98",1862.0,3.0,22,7
6536982019,False,"44,20,28,36,63","62,8,27,84,35",2679.0,2.0,22,7
6536982018,False,"1,87,20,49,83","90,21,120,111,46",3800.0,2.0,22,7
6536982017,True,"41,94,33,108,27","64,62,54,4,123",,,22,7
6536982016,True,"2,95,26,5,35","128,16,110,15,94",3934.0,1.0,22,7
6536982015,True,"119,84,32,30,44","1,60,26,21,17",2355.0,1.0,22,7
6536982013,False,"6,121,43,120,83","119,48,96,57,17",3496.0,5.0,22,7
6536982003,False,"35,75,84,48,83","31,4,14,16,76",2352.0,1.0,4,0
6536982002,True,"18,7,46,44,75","49,6,68,114,62",2039.0,2.0,22,7
6536982000,True,"59,14,112,44,110","93,30,72,108,35",3313.0,2.0,22,7
6536981914,False,"6,120,27,136,57","101,76,64,41,62",3954.0,5.0,22,7
6536981913,False,"15,79,94,2,35","26,78,90,91,19",3309.0,2.0,22,7
6536981911,True,"90,51,19,47,75","42,105,57,38,84",3049.0,1.0,4,0
6536981907,False,"7,19,25,59,53","17,8,30,121,4",3687.0,1.0,22,7
6536981906,True,"69,100,34,136,42","10,93,27,5,104",3406.0,1.0,22,7
6536981817,True,"30,2,76,72,1","39,68,63,42,16",,,22,7
6536981816,True,"136,13,5,70,7","27,8,96,17,100",2361.0,1.0,22,7
6536981815,True,"3,17,70,75,40","11,67,18,79,137",3163.0,3.0,22,7
